         521498010 function calls (521495097 primitive calls) in 566.919 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.029    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\series.py:372(_init_dict)
       21    0.000    0.000    0.067    0.003 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:742(take)
       30    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:318(_verify_integrity)
       87    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:182(nlevels)
       24    0.000    0.000    0.103    0.004 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:1039(_make_engine)
        9    0.000    0.000    0.008    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\groupby\grouper.py:635(get_grouper)
       48    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\base.py:796(__iter__)
        6    0.000    0.000    0.026    0.004 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\reshape\concat.py:306(__init__)
       90    0.000    0.000    0.047    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexing.py:1479(_getitem_axis)
        2    0.000    0.000    0.004    0.002 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\reader\excel.py:133(read_manifest)
      382    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:140(__set__)
      181    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1863(_asarray_compat)
       23    0.000    0.000    0.005    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:3783(_get_item_cache)
      921    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:810(freq)
       23    0.000    0.000    0.008    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\header_footer.py:231(__init__)
       18    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:342(maybe_cast_result_dtype)
       24    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       23    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:998(iget)
    33/21    0.000    0.000    0.066    0.003 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\algorithms.py:1570(take)
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      102    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:476(_get_block_manager_axis)
       55    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\numpy_.py:156(__init__)
       12    0.000    0.000    0.077    0.006 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\datetimelike.py:201(take)
       90    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:438(__exit__)
        6    0.000    0.000    0.005    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\algorithms.py:536(factorize)
        6    0.000    0.000    0.055    0.009 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\info.py:682(_get_dataframe_dtype_counts)
       21    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\algorithms.py:73(_ensure_data)
      204    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:235(asi8)
      444    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_integer}
      147    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\construction.py:612(is_empty_data)
      261    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5296(_validate_indexer)
       21    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\range.py:85(__new__)
      180    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:80(na_rep)
   141/61    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\typing.py:720(__hash__)
        5    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\zmq\sugar\socket.py:432(send)
      204    0.000    0.000    0.041    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\_methods.py:45(_sum)
       12    0.000    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\numeric.py:2197(isclose)
      159    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\_methods.py:56(_all)
       45    0.000    0.000    0.069    0.002 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1829(_simple_blockify)
       15    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_1d_object_object}
        6    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:210(encoded_labels)
        6    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\sorting.py:327(nargsort)
      204    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:509(tz)
      144    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\base.py:199(construct_from_string)
       40    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\printing.py:167(pprint_thing)
       16    0.000    0.000    0.026    0.002 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\nanops.py:61(_f)
       87    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3314(_validate_positional_slice)
       13    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\common.py:210(_get_filepath_or_buffer)
        3    0.000    0.000    0.002    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1021(idelete)
       93    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:96(index)
      172    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1642(construct_1d_ndarray_preserving_na)
        6    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\lib\index_tricks.py:316(__getitem__)
      111    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:150(from_blocks)
       47    0.000    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1206(iterparse)
       47    0.000    0.000    0.004    0.000 C:\Users\kiran\anaconda3\lib\site-packages\defusedxml\common.py:102(iterparse)
       66    0.000    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\styles\cell_style.py:93(__init__)
       90    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:433(__enter__)
       33    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
       21    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:635(<lambda>)
      360    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        6    0.000    0.000    0.000    0.000 {built-in method pandas._libs.hashtable.value_count_object}
      197    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1276(is_string_like_dtype)
      306    0.000    0.000    0.000    0.000 {built-in method pandas._libs.tslibs.timezones.maybe_get_tz}
      189    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\series.py:585(_values)
      423    0.000    0.000    0.006    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4070(_values)
      287    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\range.py:747(__len__)
        3    0.000    0.000    0.024    0.008 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\frame.py:2711(memory_usage)
      600    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:2251(validate_tz_from_dtype)
      369    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:1232(name)
      245    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\common.py:129(cast_scalar_indexer)
      708    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:173(blklocs)
        3    0.000    0.000    0.018    0.006 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\resample.py:1488(_get_time_bins)
      240    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\extension.py:58(fget)
        9    0.000    0.000    0.008    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\groupby\groupby.py:518(__init__)
       30    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:574(_engine)
     16/4    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\serialisable.py:106(to_tree)
      274    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1588(_block)
       47    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\defusedxml\ElementTree.py:80(__init__)
        6    0.000    0.000   12.501    2.084 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:3204(to_csv)
       27    0.000    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\styles\fonts.py:101(from_tree)
        9    0.000    0.000    0.000    0.000 {pandas._libs.lib.get_reverse_indexer}
        8    0.000    0.000    0.004    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\concat.py:425(_get_upcast_classes)
       27    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       64    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:615(is_dtype_equal)
       24    0.000    0.000    0.572    0.024 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\construction.py:62(arrays_to_mgr)
      191    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        6    0.000    0.000    0.025    0.004 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\groupby\groupby.py:1047(_cython_agg_general)
        8    0.000    0.000    0.067    0.008 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\concat.py:313(<listcomp>)
        6    0.000    0.000    0.006    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\series.py:3067(sort_values)
       34    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\utils\indexed_list.py:14(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\info.py:54(_sizeof_fmt)
       27    0.000    0.000    0.022    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\construction.py:632(create_series_with_explicit_dtype)
        8    0.000    0.000    0.006    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\concat.py:348(_get_empty_dtype_and_na)
       24    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:1371(_validate_parse_dates_presence)
      194    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\descriptors\base.py:102(__set__)
        2    0.000    0.000    1.319    0.660 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\reader\excel.py:275(read)
       84    0.000    0.000    0.000    0.000 {pandas._libs.lib.array_equivalent_object}
        9    0.000    0.000    0.008    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\groupby\grouper.py:439(__init__)
      282    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:289(<genexpr>)
       90    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:3834(_set_is_copy)
       48    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\distutils\version.py:331(_cmp)
       60    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:2134(_is_all_dates)
       45    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:510(_shallow_copy)
       32    0.000    0.000    0.005    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:403(_split_op_result)
        6    0.000    0.000   12.490    2.082 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:250(_save)
       23    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\base.py:1135(memory_usage)
       60    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:5522(_protect_consolidate)
      294    0.000    0.000    0.000    0.000 {built-in method pandas._libs.writers.word_len}
       21    0.000    0.000    0.007    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:2172(TextParser)
        2    0.000    0.000    0.108    0.054 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\reader\excel.py:203(read_worksheets)
       24    0.000    0.000    0.007    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\series.py:4337(reindex)
        3    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\lib\function_base.py:1152(diff)
        2    0.000    0.000    0.002    0.001 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\reader\workbook.py:46(parse)
       21    0.000    0.000  543.896   25.900 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\excel\_base.py:302(read_excel)
       61    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\typing.py:255(inner)
      183    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\encodings\cp437.py:14(decode)
      306    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:61(tz_to_dtype)
       24    0.000    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:10565(_logical_func)
       66    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1234(is_numeric_dtype)
       56    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:258(parse_column_dimensions)
       40    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\printing.py:198(as_escaped_string)
       23    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\workbook\workbook.py:327(<listcomp>)
      183    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       64    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\styles\cell_style.py:126(to_array)
      274    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:347(dtype)
       27    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:394(validate_integer)
       81    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
        2    0.000    0.000    0.002    0.001 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\packaging\relationship.py:124(get_dependents)
       51    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\styles\alignment.py:45(__init__)
      456    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        3    0.000    0.000    0.009    0.003 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:1430(__invert__)
      144    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:1121(<genexpr>)
       37    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Decompress' objects}
        6    0.000    0.000    0.003    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\algorithms.py:834(value_counts_arraylike)
      188    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       47    0.000    0.000    0.002    0.000 {built-in method builtins.__build_class__}
       90    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexing.py:103(iloc)
      107    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_int64}
       32    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3036(get_loc)
      128    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\concat.py:487(<genexpr>)
      408    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:205(_ndarray)
      176    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:227(attrs)
       88    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.009    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:5680(dtypes)
      300    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimelike.py:1752(validate_inferred_freq)
       23    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\frame.py:3306(_box_col_values)
      197    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1304(<lambda>)
      133    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\concat.py:561(_next_or_none)
       16    0.000    0.000    0.024    0.002 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\nanops.py:516(nansum)
        9    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4230(__contains__)
      146    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\concat.py:139(<genexpr>)
       90    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:532(is_)
        6    0.000    0.000   12.498    2.083 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:223(save)
        3    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:940(fast_xs)
      474    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\typing.py:1822(new_type)
       77    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\distutils\version.py:312(<listcomp>)
      388    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:248(flags)
        9    0.000    0.000    0.204    0.023 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1260(reindex_indexer)
        8    0.000    0.000    0.095    0.012 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\concat.py:303(_concatenate_join_units)
       15    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\algorithms.py:188(_reconstruct_data)
       72    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:340(_validate_dtype)
       21    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\workbook\workbook.py:308(<listcomp>)
        6    0.000    0.000    0.016    0.003 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\algorithms.py:754(value_counts)
       24    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\numerictypes.py:545(_can_coerce_all)
       21    0.000    0.000    0.167    0.008 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1315(try_datetime)
        6    0.000    0.000    0.008    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\groupby\generic.py:325(_wrap_series_output)
      124    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\zipfile.py:460(_decodeExtra)
        9    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:1250(_validate_names)
       23    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1278(_close_and_return_root)
        6    0.000    0.000    0.009    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\series.py:1607(groupby)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
       90    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\_ufunc_config.py:429(__init__)
       62    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\posixpath.py:71(join)
      300    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\datetimes.py:2209(_validate_dt64_dtype)
       21    0.000    0.000  543.896   25.900 C:\Users\kiran\anaconda3\lib\site-packages\pandas\util\_decorators.py:286(wrapper)
      516    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       57    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:5538(f)
       27    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\styles\fonts.py:69(__init__)
       23    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\page.py:167(__init__)
        6    0.000    0.000    0.006    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5077(map)
        6    0.000    0.000    0.273    0.045 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\generic.py:3492(take)
      145    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:320(<genexpr>)
       47    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1256(__init__)
       96    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\common.py:317(apply_if_callable)
       56    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\concat.py:199(dtype)
       23    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\dimensions.py:260(__init__)
       12    0.000    0.000    0.065    0.005 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\arrays\_mixins.py:60(take)
       33    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\_config\config.py:86(_get_single_key)
        3    0.000    0.000    0.000    0.000 {method 'unique' of 'pandas._libs.hashtable.PyObjectHashTable' objects}
        6    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_1d_int64_int64}
       43    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
        3    0.000    0.000    0.321    0.107 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\resample.py:1044(_downsample)
       21    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:3075(_get_index_name)
       49    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\series.py:620(array)
        3    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1951(_fast_count_smallints)
      104    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\info.py:28(_put_str)
        3    0.000    0.000    5.390    1.797 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:533(read_csv)
        3    0.000    0.000    0.000    0.000 {method 'normalize' of 'pandas._libs.tslibs.timestamps._Timestamp' objects}
        6    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\algorithms.py:2055(safe_sort)
       21    0.000    0.000    1.164    0.055 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:2532(_convert_data)
       21    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\range.py:133(_simple_new)
      496    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
        6    0.000    0.000    0.202    0.034 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1311(<listcomp>)
       45    0.000    0.000    0.004    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_read_only.py:53(_get_source)
       59    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\zipfile.py:737(__init__)
      331    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
      124    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\concat.py:119(is_nonempty)
       12    0.000    0.000    0.002    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\managers.py:257(get_dtypes)
       13    0.000    0.000    0.027    0.002 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:382(reduce)
      161    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:3598(_get_na_values)
       24    0.000    0.000    0.103    0.004 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:160(parse_dimensions)
        6    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\numpy\core\numeric.py:2317(array_equal)
       78    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.checknull}
       16    0.000    0.000    0.016    0.001 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\internals\concat.py:476(_is_uniform_join_units)
       18    0.000    0.000    0.282    0.016 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:264(notna)
        3    0.000    0.000    0.047    0.016 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\indexes\datetimelike.py:398(_summary)
        6    0.000    0.000   12.500    2.083 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\format.py:1034(to_csv)
       24    0.000    0.000    0.716    0.030 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\parsers.py:1545(_make_index)
       47    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1240(IterParseIterator)
       14    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_bool_array}
        6    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\formats\format.py:468(__init__)
       18    0.000    0.000    0.001    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\core\common.py:75(is_bool_indexer)
       22    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\common.py:846(_is_binary_mode)
       24    0.000    0.000    0.000    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\utils\cell.py:126(range_boundaries)
